smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol)
O=CNc1c([N+](=O)[O-])c[nH]c1O,0.6255089139959903,-1.2049931990936755,-1.2386576878492421,0.8063741392872653,-0.31103462883662253
C#Cc1nnnc(N)c1[N+](=O)[O-],0.9240814779627636,-0.6162405429879065,-1.254364676369287,-0.03721486791308974,1.8714053112577493
C=Cn1oc([N+](=O)[O-])c(N)c1=N,0.7665697196826856,-1.422033373166565,-0.4946502410648525,-0.7602911597991051,0.925637878592991
O=[N+]([O-])c1c[nH]c(CC=NO)n1,0.7662673532014932,1.039537205357979,1.3416844105019026,-0.2631762091274689,0.6201515663493339
C#Cc1[nH]n(O)c(=N)c1[N+](=O)[O-],0.7756501334942963,-0.9790433298618006,0.13590137983732628,-0.06734304674167385,1.5473951951783609
O=C1COc2ncc([N+](=O)[O-])n21,0.6343474299644813,0.39162417339654587,-0.11239746069810001,1.8759244877019996,0.07978008384629036
N=Cn1ccc(=O)c([N+](=O)[O-])n1,0.7747936443161246,0.40338497100640597,1.097040655345355,-0.09747122557025796,0.7890352553741997
COc1[nH]n(C)c(=O)c1[N+](=O)[O-],0.6174376826252208,0.40338497100640597,1.5381699461394451,-0.08240713615596423,-0.04260635433415537
N#CCOc1cc([N+](=O)[O-])n[nH]1,0.7748460169209167,0.8902107144933805,-0.8445011834783047,-0.3234325667846371,0.793071692358675
O=C1CN=C2C([N+](=O)[O-])=CON12,0.6348649479478297,-0.2406077950850737,-1.2117878710099201,1.3486813582017794,0.5467968859570487
O=[N+]([O-])C1=C(O)N2CCN=C2N1,0.7659599389624745,-0.9487503663212495,0.11683566421236583,0.06823375798695631,0.3202974917584327
N=CNOc1coc([N+](=O)[O-])c1,0.6264324948770332,0.08548704773380014,0.08142085047377415,-0.6247143550704782,0.5389326133826446
Cc1nc(NC=O)c([N+](=O)[O-])[nH]1,0.7656435916319007,-0.19926680954738044,0.9726689663721694,-0.6096502656561845,0.05538415075407438
Nc1cnc([N+](=O)[O-])c(N)c1O,0.7657744105715422,-0.40989200310579965,1.1507802890239989,1.0022073016730637,0.16246967664453257
Cc1nc(O)c(N)nc1[N+](=O)[O-],0.7657201888160915,-0.26412939030479504,0.5142027165512368,0.20381056271558315,0.11856951316221653
N=C(N)Cc1cc([N+](=O)[O-])no1,0.7662855927436485,-0.22849060966885348,-0.40880512770687144,-1.4381751834422491,0.6680881668161252
Cc1nc(C=NO)c([N+](=O)[O-])[nH]1,0.7662191694169882,-0.3585721589900429,-0.4696573599606303,-0.8506756962848574,0.6156979265757655
Nn1cc(C(=O)O)cc1[N+](=O)[O-],0.6257540125636266,0.41336382958447004,-1.55092052251504,0.17368238388699903,-0.09088714710194835
